area_type_code,area_code,area_text,display_level,selectable,sort_sequence,unique_code,employment_code,unemployment_code
A,ST2600000000000,Michigan,0,T,3747,26000,ENU2600010010,LAUST260000000000003
A,ST2700000000000,Minnesota,0,T,3973,27000,ENU2700010010,LAUST270000000000003
A,ST2800000000000,Mississippi,0,T,4145,28000,ENU2800010010,LAUST280000000000003
A,ST2900000000000,Missouri,0,T,4279,29000,ENU2900010010,LAUST290000000000003
A,ST3000000000000,Montana,0,T,4471,30000,ENU3000010010,LAUST300000000000003
A,ST3100000000000,Nebraska,0,T,4544,31000,ENU3100010010,LAUST310000000000003
A,ST3200000000000,Nevada,0,T,4663,32000,ENU3200010010,LAUST320000000000003
A,ST3300000000000,New Hampshire,0,T,4698,33000,ENU3300010010,LAUST330000000000003
A,ST3400000000000,New Jersey,0,T,4986,34000,ENU3400010010,LAUST340000000000003
A,ST3500000000000,New Mexico,0,T,5124,35000,ENU3500010010,LAUST350000000000003
A,ST3600000000000,New York,0,T,5189,36000,ENU3600010010,LAUST360000000000003
A,ST3700000000000,North Carolina,0,T,5396,37000,ENU3700010010,LAUST370000000000003
A,ST3800000000000,North Dakota,0,T,5618,38000,ENU3800010010,LAUST380000000000003
A,ST3900000000000,Ohio,0,T,5691,39000,ENU3900010010,LAUST390000000000003
A,ST4000000000000,Oklahoma,0,T,5928,40000,ENU4000010010,LAUST400000000000003
A,ST4100000000000,Oregon,0,T,6063,41000,ENU4100010010,LAUST410000000000003
A,ST4200000000000,Pennsylvania,0,T,6163,42000,ENU4200010010,LAUST420000000000003
A,ST4400000000000,Rhode Island,0,T,6354,44000,ENU4400010010,LAUST440000000000003
A,ST4500000000000,South Carolina,0,T,6402,45000,ENU4500010010,LAUST450000000000003
A,ST4600000000000,South Dakota,0,T,6504,46000,ENU4600010010,LAUST460000000000003
A,ST4700000000000,Tennessee,0,T,6590,47000,ENU4700010010,LAUST470000000000003
A,ST4800000000000,Texas,0,T,6762,48000,ENU4800010010,LAUST480000000000003
A,ST4900000000000,Utah,0,T,7324,49000,ENU4900010010,LAUST490000000000003
A,ST5000000000000,Vermont,0,T,7407,50000,ENU5000010010,LAUST500000000000003
A,ST5100000000000,Virginia,0,T,7694,51000,ENU5100010010,LAUST510000000000003
A,ST5300000000000,Washington,0,T,7893,53000,ENU5300010010,LAUST530000000000003
A,ST5400000000000,West Virginia,0,T,8012,54000,ENU5400010010,LAUST540000000000003
A,ST5500000000000,Wisconsin,0,T,8100,55000,ENU5500010010,LAUST550000000000003
A,ST5600000000000,Wyoming,0,T,8251,56000,ENU5600010010,LAUST560000000000003
A,ST7200000000000,Puerto Rico,0,T,8289,72000,ENU7200010010,LAUST720000000000003
B,MT0111500000000,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",0,T,2,01115,ENU0111510010,LAUST011150000000003
B,MT0112220000000,"Auburn-Opelika, AL Metropolitan Statistical Area",0,T,3,01122,ENU0112210010,LAUST011220000000003
B,MT0113820000000,"Birmingham-Hoover, AL Metropolitan Statistical Area",0,T,4,01138,ENU0113810010,LAUST011380000000003
B,MT0119300000000,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",0,T,5,01193,ENU0119310010,LAUST011930000000003
B,MT0119460000000,"Decatur, AL Metropolitan Statistical Area",0,T,6,01194,ENU0119410010,LAUST011940000000003
B,MT0120020000000,"Dothan, AL Metropolitan Statistical Area",0,T,7,01200,ENU0120010010,LAUST012000000000003
B,MT0122520000000,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",0,T,8,01225,ENU0122510010,LAUST012250000000003
B,MT0123460000000,"Gadsden, AL Metropolitan Statistical Area",0,T,9,01234,ENU0123410010,LAUST012340000000003
B,MT0126620000000,"Huntsville, AL Metropolitan Statistical Area",0,T,10,01266,ENU0126610010,LAUST012660000000003
B,MT0133660000000,"Mobile, AL Metropolitan Statistical Area",0,T,11,01336,ENU0133610010,LAUST013360000000003
B,MT0133860000000,"Montgomery, AL Metropolitan Statistical Area",0,T,12,01338,ENU0133810010,LAUST013380000000003
B,MT0146220000000,"Tuscaloosa, AL Metropolitan Statistical Area",0,T,13,01462,ENU0146210010,LAUST014620000000003
B,MT0211260000000,"Anchorage, AK Metropolitan Statistical Area",0,T,150,02112,ENU0211210010,LAUST021120000000003
B,MT0221820000000,"Fairbanks, AK Metropolitan Statistical Area",0,T,151,02218,ENU0221810010,LAUST022180000000003
B,MT0422380000000,"Flagstaff, AZ Metropolitan Statistical Area",0,T,194,04223,ENU0422310010,LAUST042230000000003
B,MT0429420000000,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",0,T,195,04294,ENU0429410010,LAUST042940000000003
B,MT0438060000000,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",0,T,196,04380,ENU0438010010,LAUST043800000000003
B,MT0439140000000,"Prescott, AZ Metropolitan Statistical Area",0,T,197,04391,ENU0439110010,LAUST043910000000003
B,MT0443420000000,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",0,T,198,04434,ENU0443410010,LAUST044340000000003
B,MT0446060000000,"Tucson, AZ Metropolitan Statistical Area",0,T,199,04460,ENU0446010010,LAUST044600000000003
B,MT0449740000000,"Yuma, AZ Metropolitan Statistical Area",0,T,200,04497,ENU0449710010,LAUST044970000000003
B,MT0522220000000,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",0,T,258,05222,ENU0522210010,LAUST052220000000003
B,MT0522900000000,"Fort Smith, AR-OK Metropolitan Statistical Area",0,T,259,05229,ENU0522910010,LAUST052290000000003
B,MT0526300000000,"Hot Springs, AR Metropolitan Statistical Area",0,T,260,05263,ENU0526310010,LAUST052630000000003
B,MT0527860000000,"Jonesboro, AR Metropolitan Statistical Area",0,T,261,05278,ENU0527810010,LAUST052780000000003
B,MT0530780000000,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",0,T,262,05307,ENU0530710010,LAUST053070000000003
B,MT0538220000000,"Pine Bluff, AR Metropolitan Statistical Area",0,T,263,05382,ENU0538210010,LAUST053820000000003
B,MT0612540000000,"Bakersfield, CA Metropolitan Statistical Area",0,T,384,06125,ENU0612510010,LAUST061250000000003
B,MT0617020000000,"Chico, CA Metropolitan Statistical Area",0,T,385,06170,ENU0617010010,LAUST061700000000003
B,MT0620940000000,"El Centro, CA Metropolitan Statistical Area",0,T,386,06209,ENU0620910010,LAUST062090000000003
B,MT0623420000000,"Fresno, CA Metropolitan Statistical Area",0,T,387,06234,ENU0623410010,LAUST062340000000003
B,MT0625260000000,"Hanford-Corcoran, CA Metropolitan Statistical Area",0,T,388,06252,ENU0625210010,LAUST062520000000003
B,MT0631080000000,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",0,T,389,06310,ENU0631010010,LAUST063100000000003
B,MT0631460000000,"Madera, CA Metropolitan Statistical Area",0,T,390,06314,ENU0631410010,LAUST063140000000003
B,MT0632900000000,"Merced, CA Metropolitan Statistical Area",0,T,391,06329,ENU0632910010,LAUST063290000000003
B,MT0633700000000,"Modesto, CA Metropolitan Statistical Area",0,T,392,06337,ENU0633710010,LAUST063370000000003
B,MT0634900000000,"Napa, CA Metropolitan Statistical Area",0,T,393,06349,ENU0634910010,LAUST063490000000003
B,MT0637100000000,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",0,T,394,06371,ENU0637110010,LAUST063710000000003
B,MT0639820000000,"Redding, CA Metropolitan Statistical Area",0,T,395,06398,ENU0639810010,LAUST063980000000003
B,MT0640140000000,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",0,T,396,06401,ENU0640110010,LAUST064010000000003
B,MT0640900000000,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",0,T,397,06409,ENU0640910010,LAUST064090000000003
B,MT0641500000000,"Salinas, CA Metropolitan Statistical Area",0,T,398,06415,ENU0641510010,LAUST064150000000003
B,MT0641740000000,"San Diego-Carlsbad, CA Metropolitan Statistical Area",0,T,399,06417,ENU0641710010,LAUST064170000000003
B,MT0641860000000,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",0,T,400,06418,ENU0641810010,LAUST064180000000003
B,MT0641940000000,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",0,T,401,06419,ENU0641910010,LAUST064190000000003
B,MT0642020000000,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",0,T,402,06420,ENU0642010010,LAUST064200000000003
B,MT0642100000000,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",0,T,403,06421,ENU0642110010,LAUST064210000000003
B,MT0642200000000,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",0,T,404,06422,ENU0642210010,LAUST064220000000003
B,MT0642220000000,"Santa Rosa, CA Metropolitan Statistical Area",0,T,405,06422,ENU0642210010,LAUST064220000000003
B,MT0644700000000,"Stockton-Lodi, CA Metropolitan Statistical Area",0,T,406,06447,ENU0644710010,LAUST064470000000003
B,MT0646700000000,"Vallejo-Fairfield, CA Metropolitan Statistical Area",0,T,407,06467,ENU0646710010,LAUST064670000000003
B,MT0647300000000,"Visalia-Porterville, CA Metropolitan Statistical Area",0,T,408,06473,ENU0647310010,LAUST064730000000003
B,MT0649700000000,"Yuba City, CA Metropolitan Statistical Area",0,T,409,06497,ENU0649710010,LAUST064970000000003
B,MT0814500000000,"Boulder, CO Metropolitan Statistical Area",0,T,773,08145,ENU0814510010,LAUST081450000000003
B,MT0817820000000,"Colorado Springs, CO Metropolitan Statistical Area",0,T,774,08178,ENU0817810010,LAUST081780000000003
B,MT0819740000000,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",0,T,775,08197,ENU0819710010,LAUST081970000000003
B,MT0822660000000,"Fort Collins, CO Metropolitan Statistical Area",0,T,776,08226,ENU0822610010,LAUST082260000000003
B,MT0824300000000,"Grand Junction, CO Metropolitan Statistical Area",0,T,777,08243,ENU0824310010,LAUST082430000000003
B,MT0824540000000,"Greeley, CO Metropolitan Statistical Area",0,T,778,08245,ENU0824510010,LAUST082450000000003
B,MT0839380000000,"Pueblo, CO Metropolitan Statistical Area",0,T,779,08393,ENU0839310010,LAUST083930000000003
B,MT0971950000000,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",0,T,909,09719,ENU0971910010,LAUST097190000000003
B,MT0972850000000,"Danbury, CT Metropolitan NECTA",0,T,910,09728,ENU0972810010,LAUST097280000000003
B,MT0973450000000,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",0,T,911,09734,ENU0973410010,LAUST097340000000003
B,MT0975700000000,"New Haven, CT Metropolitan NECTA",0,T,912,09757,ENU0975710010,LAUST097570000000003
B,MT0976450000000,"Norwich-New London-Westerly, CT-RI Metropolitan NECTA",0,T,913,09764,ENU0976410010,LAUST097640000000003
B,MT0978700000000,"Waterbury, CT Metropolitan NECTA",0,T,914,09787,ENU0978710010,LAUST097870000000003
B,MT1020100000000,"Dover, DE Metropolitan Statistical Area",0,T,1101,10201,ENU1020110010,LAUST102010000000003
B,MT1041540000000,"Salisbury, MD-DE Metropolitan Statistical Area",0,T,1102,10415,ENU1041510010,LAUST104150000000003
B,MT1147900000000,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",0,T,1113,11479,ENU1147910010,LAUST114790000000003
B,MT1215980000000,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",0,T,1120,12159,ENU1215910010,LAUST121590000000003
B,MT1218880000000,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",0,T,1121,12188,ENU1218810010,LAUST121880000000003
B,MT1219660000000,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",0,T,1122,12196,ENU1219610010,LAUST121960000000003
B,MT1223540000000,"Gainesville, FL Metropolitan Statistical Area",0,T,1123,12235,ENU1223510010,LAUST122350000000003
B,MT1226140000000,"Homosassa Springs, FL Metropolitan Statistical Area",0,T,1124,12261,ENU1226110010,LAUST122610000000003
B,MT1227260000000,"Jacksonville, FL Metropolitan Statistical Area",0,T,1125,12272,ENU1227210010,LAUST122720000000003
B,MT1229460000000,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",0,T,1126,12294,ENU1229410010,LAUST122940000000003
B,MT1233100000000,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",0,T,1127,12331,ENU1233110010,LAUST123310000000003
B,MT1234940000000,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",0,T,1128,12349,ENU1234910010,LAUST123490000000003
B,MT1235840000000,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",0,T,1129,12358,ENU1235810010,LAUST123580000000003
B,MT1236100000000,"Ocala, FL Metropolitan Statistical Area",0,T,1130,12361,ENU1236110010,LAUST123610000000003
B,MT1236740000000,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",0,T,1131,12367,ENU1236710010,LAUST123670000000003
B,MT1237340000000,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",0,T,1132,12373,ENU1237310010,LAUST123730000000003
B,MT1237460000000,"Panama City, FL Metropolitan Statistical Area",0,T,1133,12374,ENU1237410010,LAUST123740000000003
B,MT1237860000000,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",0,T,1134,12378,ENU1237810010,LAUST123780000000003
B,MT1238940000000,"Port St. Lucie, FL Metropolitan Statistical Area",0,T,1135,12389,ENU1238910010,LAUST123890000000003
B,MT1239460000000,"Punta Gorda, FL Metropolitan Statistical Area",0,T,1136,12394,ENU1239410010,LAUST123940000000003
B,MT1242680000000,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",0,T,1137,12426,ENU1242610010,LAUST124260000000003
B,MT1242700000000,"Sebring, FL Metropolitan Statistical Area",0,T,1138,12427,ENU1242710010,LAUST124270000000003
B,MT1245220000000,"Tallahassee, FL Metropolitan Statistical Area",0,T,1139,12452,ENU1245210010,LAUST124520000000003
B,MT1245300000000,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",0,T,1140,12453,ENU1245310010,LAUST124530000000003
B,MT1245540000000,"The Villages, FL Metropolitan Statistical Area",0,T,1141,12455,ENU1245510010,LAUST124550000000003
B,MT1310500000000,"Albany, GA Metropolitan Statistical Area",0,T,1332,13105,ENU1310510010,LAUST131050000000003
B,MT1312020000000,"Athens-Clarke County, GA Metropolitan Statistical Area",0,T,1333,13120,ENU1312010010,LAUST131200000000003
B,MT1312060000000,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",0,T,1334,13120,ENU1312010010,LAUST131200000000003
B,MT1312260000000,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",0,T,1335,13122,ENU1312210010,LAUST131220000000003
B,MT1315260000000,"Brunswick, GA Metropolitan Statistical Area",0,T,1336,13152,ENU1315210010,LAUST131520000000003
B,MT1317980000000,"Columbus, GA-AL Metropolitan Statistical Area",0,T,1337,13179,ENU1317910010,LAUST131790000000003
B,MT1319140000000,"Dalton, GA Metropolitan Statistical Area",0,T,1338,13191,ENU1319110010,LAUST131910000000003
B,MT1323580000000,"Gainesville, GA Metropolitan Statistical Area",0,T,1339,13235,ENU1323510010,LAUST132350000000003
B,MT1325980000000,"Hinesville, GA Metropolitan Statistical Area",0,T,1340,13259,ENU1325910010,LAUST132590000000003
B,MT1331420000000,"Macon-Bibb County, GA Metropolitan Statistical Area",0,T,1341,13314,ENU1331410010,LAUST133140000000003
B,MT1340660000000,"Rome, GA Metropolitan Statistical Area",0,T,1342,13406,ENU1340610010,LAUST134060000000003
B,MT1342340000000,"Savannah, GA Metropolitan Statistical Area",0,T,1343,13423,ENU1342310010,LAUST134230000000003
B,MT1346660000000,"Valdosta, GA Metropolitan Statistical Area",0,T,1344,13466,ENU1346610010,LAUST134660000000003
B,MT1347580000000,"Warner Robins, GA Metropolitan Statistical Area",0,T,1345,13475,ENU1347510010,LAUST134750000000003
B,MT1527980000000,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",0,T,1586,15279,ENU1527910010,LAUST152790000000003
B,MT1546520000000,"Urban Honolulu, HI Metropolitan Statistical Area",0,T,1587,15465,ENU1546510010,LAUST154650000000003
B,MT1614260000000,"Boise City, ID Metropolitan Statistical Area",0,T,1596,16142,ENU1614210010,LAUST161420000000003
B,MT1617660000000,"Coeur d'Alene, ID Metropolitan Statistical Area",0,T,1597,16176,ENU1617610010,LAUST161760000000003
B,MT1626820000000,"Idaho Falls, ID Metropolitan Statistical Area",0,T,1598,16268,ENU1626810010,LAUST162680000000003
B,MT1630300000000,"Lewiston, ID-WA Metropolitan Statistical Area",0,T,1599,16303,ENU1630310010,LAUST163030000000003
B,MT1638540000000,"Pocatello, ID Metropolitan Statistical Area",0,T,1600,16385,ENU1638510010,LAUST163850000000003
B,MT1646300000000,"Twin Falls, ID Metropolitan Statistical Area",0,T,1601,16463,ENU1646310010,LAUST164630000000003
B,MT1714010000000,"Bloomington, IL Metropolitan Statistical Area",0,T,1677,17140,ENU1714010010,LAUST171400000000003
B,MT1716060000000,"Carbondale-Marion, IL Metropolitan Statistical Area",0,T,1678,17160,ENU1716010010,LAUST171600000000003
B,MT1716580000000,"Champaign-Urbana, IL Metropolitan Statistical Area",0,T,1679,17165,ENU1716510010,LAUST171650000000003
B,MT1716980000000,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",0,T,1680,17169,ENU1716910010,LAUST171690000000003
B,MT1719180000000,"Danville, IL Metropolitan Statistical Area",0,T,1681,17191,ENU1719110010,LAUST171910000000003
B,MT1719340000000,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",0,T,1682,17193,ENU1719310010,LAUST171930000000003
B,MT1719500000000,"Decatur, IL Metropolitan Statistical Area",0,T,1683,17195,ENU1719510010,LAUST171950000000003
B,MT1728100000000,"Kankakee, IL Metropolitan Statistical Area",0,T,1684,17281,ENU1728110010,LAUST172810000000003
B,MT1737900000000,"Peoria, IL Metropolitan Statistical Area",0,T,1685,17379,ENU1737910010,LAUST173790000000003
B,MT1740420000000,"Rockford, IL Metropolitan Statistical Area",0,T,1686,17404,ENU1740410010,LAUST174040000000003
B,MT1744100000000,"Springfield, IL Metropolitan Statistical Area",0,T,1687,17441,ENU1744110010,LAUST174410000000003
B,MT1814020000000,"Bloomington, IN Metropolitan Statistical Area",0,T,1962,18140,ENU1814010010,LAUST181400000000003
B,MT1818020000000,"Columbus, IN Metropolitan Statistical Area",0,T,1963,18180,ENU1818010010,LAUST181800000000003
B,MT1821140000000,"Elkhart-Goshen, IN Metropolitan Statistical Area",0,T,1964,18211,ENU1821110010,LAUST182110000000003
B,MT1821780000000,"Evansville, IN-KY Metropolitan Statistical Area",0,T,1965,18217,ENU1821710010,LAUST182170000000003
B,MT1823060000000,"Fort Wayne, IN Metropolitan Statistical Area",0,T,1966,18230,ENU1823010010,LAUST182300000000003
B,MT1826900000000,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",0,T,1967,18269,ENU1826910010,LAUST182690000000003
B,MT1829020000000,"Kokomo, IN Metropolitan Statistical Area",0,T,1968,18290,ENU1829010010,LAUST182900000000003
B,MT1829200000000,"Lafayette-West Lafayette, IN Metropolitan Statistical Area",0,T,1969,18292,ENU1829210010,LAUST182920000000003
B,MT1833140000000,"Michigan City-La Porte, IN Metropolitan Statistical Area",0,T,1970,18331,ENU1833110010,LAUST183310000000003
B,MT1834620000000,"Muncie, IN Metropolitan Statistical Area",0,T,1971,18346,ENU1834610010,LAUST183460000000003
B,MT1843780000000,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",0,T,1972,18437,ENU1843710010,LAUST184370000000003
B,MT1845460000000,"Terre Haute, IN Metropolitan Statistical Area",0,T,1973,18454,ENU1845410010,LAUST184540000000003
B,MT1911180000000,"Ames, IA Metropolitan Statistical Area",0,T,2143,19111,ENU1911110010,LAUST191110000000003
B,MT1916300000000,"Cedar Rapids, IA Metropolitan Statistical Area",0,T,2144,19163,ENU1916310010,LAUST191630000000003
B,MT1919780000000,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",0,T,2145,19197,ENU1919710010,LAUST191970000000003
B,MT1920220000000,"Dubuque, IA Metropolitan Statistical Area",0,T,2146,19202,ENU1920210010,LAUST192020000000003
B,MT1926980000000,"Iowa City, IA Metropolitan Statistical Area",0,T,2147,19269,ENU1926910010,LAUST192690000000003
B,MT1943580000000,"Sioux City, IA-NE-SD Metropolitan Statistical Area",0,T,2148,19435,ENU1943510010,LAUST194350000000003
B,MT1947940000000,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",0,T,2149,19479,ENU1947910010,LAUST194790000000003
B,MT2029940000000,"Lawrence, KS Metropolitan Statistical Area",0,T,2305,20299,ENU2029910010,LAUST202990000000003
B,MT2031740000000,"Manhattan, KS Metropolitan Statistical Area",0,T,2306,20317,ENU2031710010,LAUST203170000000003
B,MT2045820000000,"Topeka, KS Metropolitan Statistical Area",0,T,2307,20458,ENU2045810010,LAUST204580000000003
B,MT2048620000000,"Wichita, KS Metropolitan Statistical Area",0,T,2308,20486,ENU2048610010,LAUST204860000000003
B,MT2114540000000,"Bowling Green, KY Metropolitan Statistical Area",0,T,2455,21145,ENU2114510010,LAUST211450000000003
B,MT2121060000000,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",0,T,2456,21210,ENU2121010010,LAUST212100000000003
B,MT2130460000000,"Lexington-Fayette, KY Metropolitan Statistical Area",0,T,2457,21304,ENU2130410010,LAUST213040000000003
B,MT2131140000000,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",0,T,2458,21311,ENU2131110010,LAUST213110000000003
B,MT2136980000000,"Owensboro, KY Metropolitan Statistical Area",0,T,2459,21369,ENU2136910010,LAUST213690000000003
B,MT2210780000000,"Alexandria, LA Metropolitan Statistical Area",0,T,2627,22107,ENU2210710010,LAUST221070000000003
B,MT2212940000000,"Baton Rouge, LA Metropolitan Statistical Area",0,T,2628,22129,ENU2212910010,LAUST221290000000003
B,MT2225220000000,"Hammond, LA Metropolitan Statistical Area",0,T,2629,22252,ENU2225210010,LAUST222520000000003
B,MT2226380000000,"Houma-Thibodaux, LA Metropolitan Statistical Area",0,T,2630,22263,ENU2226310010,LAUST222630000000003
B,MT2229180000000,"Lafayette, LA Metropolitan Statistical Area",0,T,2631,22291,ENU2229110010,LAUST222910000000003
B,MT2229340000000,"Lake Charles, LA Metropolitan Statistical Area",0,T,2632,22293,ENU2229310010,LAUST222930000000003
B,MT2233740000000,"Monroe, LA Metropolitan Statistical Area",0,T,2633,22337,ENU2233710010,LAUST223370000000003
B,MT2235380000000,"New Orleans-Metairie, LA Metropolitan Statistical Area",0,T,2634,22353,ENU2235310010,LAUST223530000000003
B,MT2243340000000,"Shreveport-Bossier City, LA Metropolitan Statistical Area",0,T,2635,22433,ENU2243310010,LAUST224330000000003
B,MT2370750000000,"Bangor, ME Metropolitan NECTA",0,T,2731,23707,ENU2370710010,LAUST237070000000003
B,MT2374650000000,"Lewiston-Auburn, ME Metropolitan NECTA",0,T,2732,23746,ENU2374610010,LAUST237460000000003
B,MT2376750000000,"Portland-South Portland, ME Metropolitan NECTA",0,T,2733,23767,ENU2376710010,LAUST237670000000003
B,MT2412580000000,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",0,T,3303,24125,ENU2412510010,LAUST241250000000003
B,MT2415680000000,"California-Lexington Park, MD Metropolitan Statistical Area",0,T,3304,24156,ENU2415610010,LAUST241560000000003
B,MT2419060000000,"Cumberland, MD-WV Metropolitan Statistical Area",0,T,3305,24190,ENU2419010010,LAUST241900000000003
B,MT2425180000000,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",0,T,3306,24251,ENU2425110010,LAUST242510000000003
B,MT2570900000000,"Barnstable Town, MA Metropolitan NECTA",0,T,3350,25709,ENU2570910010,LAUST257090000000003
B,MT2571650000000,"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",0,T,3351,25716,ENU2571610010,LAUST257160000000003
B,MT2574500000000,"Leominster-Gardner, MA Metropolitan NECTA",0,T,3352,25745,ENU2574510010,LAUST257450000000003
B,MT2575550000000,"New Bedford, MA Metropolitan NECTA",0,T,3353,25755,ENU2575510010,LAUST257550000000003
B,MT2576600000000,"Pittsfield, MA Metropolitan NECTA",0,T,3354,25766,ENU2576610010,LAUST257660000000003
B,MT2578100000000,"Springfield, MA-CT Metropolitan NECTA",0,T,3355,25781,ENU2578110010,LAUST257810000000003
B,MT2579600000000,"Worcester, MA-CT Metropolitan NECTA",0,T,3356,25796,ENU2579610010,LAUST257960000000003
B,MT2611460000000,"Ann Arbor, MI Metropolitan Statistical Area",0,T,3748,26114,ENU2611410010,LAUST261140000000003
B,MT2612980000000,"Battle Creek, MI Metropolitan Statistical Area",0,T,3749,26129,ENU2612910010,LAUST261290000000003
B,MT2613020000000,"Bay City, MI Metropolitan Statistical Area",0,T,3750,26130,ENU2613010010,LAUST261300000000003
B,MT2619820000000,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",0,T,3751,26198,ENU2619810010,LAUST261980000000003
B,MT2622420000000,"Flint, MI Metropolitan Statistical Area",0,T,3752,26224,ENU2622410010,LAUST262240000000003
B,MT2624340000000,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",0,T,3753,26243,ENU2624310010,LAUST262430000000003
B,MT2627100000000,"Jackson, MI Metropolitan Statistical Area",0,T,3754,26271,ENU2627110010,LAUST262710000000003
B,MT2628020000000,"Kalamazoo-Portage, MI Metropolitan Statistical Area",0,T,3755,26280,ENU2628010010,LAUST262800000000003
B,MT2629620000000,"Lansing-East Lansing, MI Metropolitan Statistical Area",0,T,3756,26296,ENU2629610010,LAUST262960000000003
